question_id_mapped,question_wording,question_kind,code,value
[dem] gender,NA,multiple_sole,1,male
[dem] gender,NA,multiple_sole,2,female
[dem] degree_of_urbanisation,NA,multiple_sole,1,City
[dem] degree_of_urbanisation,NA,multiple_sole,2,Rural area
[dem] education_level,NA,multiple_sole,1,I don’t have a formal education
[dem] education_level,NA,multiple_sole,2,I have some high school or secondary school education
[dem] education_level,NA,multiple_sole,3,completed high school or obtained an equivalent diploma
[dem] education_level,NA,multiple_sole,4,I have completed a university or equivalent degree
[dem] education_level,NA,multiple_sole,5,Other/I'd rather not answer this question
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,1,Facebook
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,2,Twitter
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,3,Instagram
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,4,Snapchat
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,5,Pinterest
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,6,Google+
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,7,LinkedIn
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,8,Reddit
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,9,WhatsApp
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,10,WeChat
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,11,Viber
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,12,Line
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,13,YouTube
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,14,My own blog
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,15,None of these
[aud] social_networks_regularly_used,Which of these do you use at least a few times a week?,multiple,16,I don't use any social media platform
[aud] social_media_activity_rank,"When you use social media, which of the following do you do most often?",ranking,1,Commenting on other people's posts
[aud] social_media_activity_rank,"When you use social media, which of the following do you do most often?",ranking,2,Sharing interesting content
[aud] social_media_activity_rank,"When you use social media, which of the following do you do most often?",ranking,3,Creating posts to express my opinion
[aud] social_media_activity_rank,"When you use social media, which of the following do you do most often?",ranking,4,Reading what other people have to say
[aud] social_media_activity_rank,"When you use social media, which of the following do you do most often?",ranking,5,Connecting with new people
[aud] online_sharing_frequency,How often do you share or post something online?,multiple_sole,1,Most days
[aud] online_sharing_frequency,How often do you share or post something online?,multiple_sole,2,At least once a week
[aud] online_sharing_frequency,How often do you share or post something online?,multiple_sole,3,A few times a month
[aud] online_sharing_frequency,How often do you share or post something online?,multiple_sole,4,At least once a month
[aud] online_sharing_frequency,How often do you share or post something online?,multiple_sole,5,Less often
[aud] online_sharing_frequency,How often do you share or post something online?,multiple_sole,6,Never
[aud] sharing_network_size,"When you share or post something online, how many people do you usually reach?",multiple_sole,1,Under 100
[aud] sharing_network_size,"When you share or post something online, how many people do you usually reach?",multiple_sole,2,101 - 500
[aud] sharing_network_size,"When you share or post something online, how many people do you usually reach?",multiple_sole,3,501 - 1 000
[aud] sharing_network_size,"When you share or post something online, how many people do you usually reach?",multiple_sole,4,1 000 - 2 000
[aud] sharing_network_size,"When you share or post something online, how many people do you usually reach?",multiple_sole,5,2 001 - 5 000
[aud] sharing_network_size,"When you share or post something online, how many people do you usually reach?",multiple_sole,6,5 001 - 10 000
[aud] sharing_network_size,"When you share or post something online, how many people do you usually reach?",multiple_sole,7,More than 10 000
[aud] member_organization,In which of the following are you a member?,multiple,1,Sports club
[aud] member_organization,In which of the following are you a member?,multiple,2,Political party
[aud] member_organization,In which of the following are you a member?,multiple,3,Church or other religious institution
[aud] member_organization,In which of the following are you a member?,multiple,4,"Other type of club (music / art, entertainment, social work etc.)"
[aud] member_organization,In which of the following are you a member?,multiple,5,None of the above
[aud] organization_activities_timeperweek,How much time per week do you spend on activities in the organizations you are a member of?,multiple_sole,1,Less than 1 hour
[aud] organization_activities_timeperweek,How much time per week do you spend on activities in the organizations you are a member of?,multiple_sole,2,1 - 3 hours
[aud] organization_activities_timeperweek,How much time per week do you spend on activities in the organizations you are a member of?,multiple_sole,3,3 - 5 hours
[aud] organization_activities_timeperweek,How much time per week do you spend on activities in the organizations you are a member of?,multiple_sole,4,5 - 10 hours
[aud] organization_activities_timeperweek,How much time per week do you spend on activities in the organizations you are a member of?,multiple_sole,5,10 - 20 hours
[aud] organization_activities_timeperweek,How much time per week do you spend on activities in the organizations you are a member of?,multiple_sole,6,More than 20 hours
[aud] media_tv_hours,On average how much time do you spend watching TV / TV shows per day?,multiple_sole,1,None
[aud] media_tv_hours,On average how much time do you spend watching TV / TV shows per day?,multiple_sole,2,1 - 30 minutes
[aud] media_tv_hours,On average how much time do you spend watching TV / TV shows per day?,multiple_sole,3,30 minutes - 1 hour
[aud] media_tv_hours,On average how much time do you spend watching TV / TV shows per day?,multiple_sole,4,1 - 2 hours
[aud] media_tv_hours,On average how much time do you spend watching TV / TV shows per day?,multiple_sole,5,2 - 3 hours
[aud] media_tv_hours,On average how much time do you spend watching TV / TV shows per day?,multiple_sole,6,3 - 4 hours
[aud] media_tv_hours,On average how much time do you spend watching TV / TV shows per day?,multiple_sole,7,4 - 5 hours
[aud] media_tv_hours,On average how much time do you spend watching TV / TV shows per day?,multiple_sole,8,More than 5 hours
[aud] media_radio_hours,On average how much time do you spend listening to the radio per day?,multiple_sole,1,None
[aud] media_radio_hours,On average how much time do you spend listening to the radio per day?,multiple_sole,2,1 - 30 minutes
[aud] media_radio_hours,On average how much time do you spend listening to the radio per day?,multiple_sole,3,30 minutes - 1 hour
[aud] media_radio_hours,On average how much time do you spend listening to the radio per day?,multiple_sole,4,1 - 2 hours
[aud] media_radio_hours,On average how much time do you spend listening to the radio per day?,multiple_sole,5,2 - 3 hours
[aud] media_radio_hours,On average how much time do you spend listening to the radio per day?,multiple_sole,6,3 - 4 hours
[aud] media_radio_hours,On average how much time do you spend listening to the radio per day?,multiple_sole,7,4 - 5 hours
[aud] media_radio_hours,On average how much time do you spend listening to the radio per day?,multiple_sole,8,More than 5 hours
[aud] media_print_hours,On average how much time do you spend reading printed newspapers or magazines per day?,multiple_sole,1,None
[aud] media_print_hours,On average how much time do you spend reading printed newspapers or magazines per day?,multiple_sole,2,1 - 30 minutes
[aud] media_print_hours,On average how much time do you spend reading printed newspapers or magazines per day?,multiple_sole,3,30 minutes - 1 hour
