question_id_mapped,question_wording,question_kind,code,value
[dem] gender,NA,multiple_sole,1,male
[dem] gender,NA,multiple_sole,2,female
[dem] education_level,NA,multiple_sole,1,I don't have a formal education
[dem] education_level,NA,multiple_sole,2,I have some high school or secondary school education
[dem] education_level,NA,multiple_sole,3,completed high school or obtained an equivalent diploma
[dem] education_level,NA,multiple_sole,4,I have completed a university or equivalent degree
[dem] education_level,NA,multiple_sole,5,Other/I'd rather not answer this question
[dem] degree_of_urbanisation,NA,multiple_sole,1,City
[dem] degree_of_urbanisation,NA,multiple_sole,2,Rural area
[dem] residency,Do you live in the country you're currently in?,multiple_sole,1,"Yes, as a citizen"
[dem] residency,Do you live in the country you're currently in?,multiple_sole,2,"Yes, but not as a citizen"
[dem] residency,Do you live in the country you're currently in?,multiple_sole,3,"No, I'm a temporary visitor"
[dem] residency,Do you live in the country you're currently in?,multiple_sole,4,Other
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,1,1
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,2,2
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,3,3
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,4,4
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,5,5 or more
[dem] immigration,How did you or your family get to the to this country?,multiple_sole,1,I moved here
[dem] immigration,How did you or your family get to the to this country?,multiple_sole,2,One or both of my parents moved here before I was born
[dem] immigration,How did you or your family get to the to this country?,multiple_sole,3,My grandparents moved here
[dem] immigration,How did you or your family get to the to this country?,multiple_sole,4,My family has been here for a longer time
[dem] immigration,How did you or your family get to the to this country?,multiple_sole,5,None of the above
[dem] origin,Where did you or your family come from?,multiple,1,"Western, Southern or Northern Europe"
[dem] origin,Where did you or your family come from?,multiple,2,Eastern Europe (includes Russia)
[dem] origin,Where did you or your family come from?,multiple,3,Middle East (includes Turkey) and North Africa
[dem] origin,Where did you or your family come from?,multiple,4,Sub-Saharan Africa
[dem] origin,Where did you or your family come from?,multiple,5,North America
[dem] origin,Where did you or your family come from?,multiple,6,Central America (includes the Caribbean)
[dem] origin,Where did you or your family come from?,multiple,7,South America
[dem] origin,Where did you or your family come from?,multiple,8,Central Asia (includes the Caucasus)
[dem] origin,Where did you or your family come from?,multiple,9,East Asia (includes China)
[dem] origin,Where did you or your family come from?,multiple,10,South Asia (includes India)
[dem] origin,Where did you or your family come from?,multiple,11,South-East Asia
[dem] origin,Where did you or your family come from?,multiple,12,Oceania / Pacific Islands
[dem] origin,Where did you or your family come from?,multiple,13,Other
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,1,Countryside
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,2,Town with fewer than 1 000 people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,3,Town with 1 000 - 50 000 people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,4,City with 50 000 - 250 000 people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,5,City with 250 000 - 1 million people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,6,City with 1 million - 5 million people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,7,City with 5 million - 10 million people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,8,City with more than 10 million people
[dem] hometown,Did you grow up in the place where you currently live?,multiple_sole,1,Yes
[dem] hometown,Did you grow up in the place where you currently live?,multiple_sole,2,No
[dem] ethnicity,Which of the following categories best describes your ethnic background?,multiple,1,White (Caucasian)
[dem] ethnicity,Which of the following categories best describes your ethnic background?,multiple,2,North African / Middle Eastern
[dem] ethnicity,Which of the following categories best describes your ethnic background?,multiple,3,Asian (includes Indian)
[dem] ethnicity,Which of the following categories best describes your ethnic background?,multiple,4,Hispanic or Latino
[dem] ethnicity,Which of the following categories best describes your ethnic background?,multiple,5,Black
[dem] ethnicity,Which of the following categories best describes your ethnic background?,multiple,6,Other
[dem] religion,What is your religion?,multiple_sole,1,Roman Catholic
[dem] religion,What is your religion?,multiple_sole,2,Orthodox Catholic
[dem] religion,What is your religion?,multiple_sole,3,Muslim
[dem] religion,What is your religion?,multiple_sole,4,Protestant
[dem] religion,What is your religion?,multiple_sole,5,Jewish
[dem] religion,What is your religion?,multiple_sole,6,Buddhist
[dem] religion,What is your religion?,multiple_sole,7,Other
[dem] religion,What is your religion?,multiple_sole,8,None / not religious
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,1,"Employed, working 30 or more hours per week"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,2,"Employed, working 1 to 29 hours per week"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,3,"Not employed, currently looking for work"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,4,"Not employed, currently NOT looking for work"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,5,Retired
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,6,"In school, university or practical training"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,7,"Disabled, not able to work"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,8,Entrepreneur / Employer
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,9,Self-employed / Freelancer
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,10,None of the above
[dem] employment_status_in_education,"While in school, university or practical training, are you?",multiple_sole,1,employed
[dem] employment_status_in_education,"While in school, university or practical training, are you?",multiple_sole,2,"not employed, currently looking for work"
[dem] employment_status_in_education,"While in school, university or practical training, are you?",multiple_sole,3,"not employed, currently NOT looking for work"
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,1,Very routine
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,2,Somewhat routine
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,3,Not very routine
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,4,Not at all routine
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,5,I've never worked
[dem] work_type_manual,"Do the tasks you perform at work involve manual / physical activity? If you do not work currently, think about your last job.",multiple_sole,1,"Yes, a lot"
[dem] work_type_manual,"Do the tasks you perform at work involve manual / physical activity? If you do not work currently, think about your last job.",multiple_sole,2,"Yes, some"
