[meta] uuid,[meta] weight,[dem] country_code,[dem] age,[dem] gender,[dem] education_level,[dem] degree_of_urbanisation,[dem] residency,[dem] household_size,[dem] immigration,[dem] origin,[dem] settlement_size,[dem] hometown,[dem] ethnic_background,[dem] religion,[dem] employment_status,[dem] employment_status_in_education,[dem] work_type_routine,[dem] work_type_manual,[dem] lgbtq,[dem] income_net_monthly,[dem] disposable_income,[dem] household_finances_past12months,[dem] financial_security,[dem] change_household_finances_next12months,[dem] job_security,[dem] status_national_economy,[dem] change_economy_country_past12months,[dem] economy_country_next12months,[aud] social_networks_regularly_used,[aud] social_media_activity_rank,[aud] online_sharing_frequency,[aud] sharing_network_size,[aud] member_organization,[aud] organization_activities_timeperweek,[aud] media_tv_hours,[aud] media_radio_hours,[aud] media_print_hours,[question] opinion_eu,[question] opinion_government,[question] political_view,[question] likelihood_to_demonstrate,[question] vote_referendum,[question] frequency_of_voting,[question] vote_next_national_election,[question] ranking_party_de,[question] voted_party_last_election_de,[question] ranking_party_fr,[question] voted_party_last_election_fr,[question] ranking_party_es,[question] voted_party_last_election_es,[question] ranking_party_pl,[question] voted_party_last_election_pl,[question] ranking_party_it,[question] voted_party_last_election_it,[question] ranking_party_gb,[question] voted_party_last_election_gb,[question] when_vote_decision_was_made,[question] vote_nextelection_de,[question] vote_nextelection_fr,[question] vote_nextelection_es,[question] vote_nextelection_pl,[question] vote_nextelection_it,[question] vote_nextelection_gb,[question] certainty_party_to_vote,[question] friends_family_same_vote,[question] important_issues_when_voting,[question] ranking_importance_of_issues_when_voting,[question] preferred_type_of_political_leader,[question] frequent_sharing_of_politicalviews,[question] independence_or_respect,[question] obedience_or_selfreliance,[question] consideration_or_good_behaviour,[question] curiosity_or_good_manners,[question] democracy_own_country_satisfaction,[question] next_generation_opportunities,[question] currentplace_change_past5years,[question] hometown_change_past5years,[question] country_direction_past5years,[question] financial_situation_change_past5years,[question] international_trade_gain_or_loss,[question] country_comes_first,[question] improving_life_by_hardwork,[question] conspiracy,[question] government_controlled_by_elite,[question] trust_in_own_judgment,[question] perceived_effect_of_diversity,[question] gender_discrimination_importance,[question] family_friends_highereducation,[question] worldview
79408a80-9d3f-0134-6988-0aaafcbd6b1f,0.7818328195,IE,58,1,2,2,1,2,5,,3,2,6,8,1,,2,2,2,13,5,3,5,3,2,2,2,3,,,,,,,,,,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,3,3,,3,3,2,2,2,3,2,2,3,2,2,2
3d121690-9d42-0134-9607-0a62e1402143,1.164045228,IE,19,2,3,1,1,5,4,,3,1,1,1,6,3,5,5,2,13,3,3,5,1,5,4,6,6,,,,,,,,,,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,1,4,4,2,4,4,4,3,3,3,3,2,3,3,2
d61e7f20-9d46-0134-7c72-0aaafcbd6b1f,1.735603769,IE,18,1,3,1,1,5,4,,5,1,1,1,1,,2,2,2,5,4,4,3,2,2,3,2,1,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,2,3,3,4,2,3,4,2,4,2,2,1,2,3,2
9f0d5b50-9d50-0134-f81d-0aaafcbd6b1f,1.228911705,IE,25,1,5,1,1,5,4,,4,1,1,1,1,,1,1,2,7,2,4,2,2,2,1,3,3,,,,,,,,,,2,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
983ee5f0-9d51-0134-fd69-0aaafcbd6b1f,1.083790159,IE,46,1,4,1,1,4,4,,3,2,1,1,1,,3,4,2,7,4,2,2,3,2,2,2,2,,,,,,,,,,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,2,,4,3,1,2,1,5,5,4,2,2,2,2
03f5bf90-9d52-0134-ff66-0aaafcbd6b1f,0.7679270153,IE,14,1,2,2,1,4,4,,1,1,1,1,6,3,5,5,2,4,2,3,1,2,1,2,2,2,,,,,,,,,,1,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,3,1,2,4,2,2,1,2,3,2,3,2,1,2,2
179a03d0-9d57-0134-30c7-0aaafcbd6b1f,0.7280215363,IE,36,1,2,1,1,4,4,,5,2,1,1,9,,1,1,2,6,2,3,3,2,2,2,3,2,,,,,,,,,,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,1,3,,2,3,2,2,1,1,1,2,4,2,2,1
0544dd70-9d59-0134-c484-0a62e1402143,1.566110873,IE,27,2,3,1,2,2,1,12,5,2,1,8,1,,1,1,2,4,2,3,4,2,1,4,3,3,,,,,,,,,,1,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,6,,4,4,3,4,2,1,3,4,1,1,2,2
5acc2860-9d59-0134-a28a-0a62e1402143,0.7918470197,IE,28,1,4,1,1,5,4,,6,1,1,1,1,,2,2,2,12,3,2,2,3,2,2,2,6,,,,,,,,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,2,2,3,2,1,3,2,4,3,2,2,1,2,2
825c1310-9d5c-0134-8468-0aaafcbd6b1f,1.164045228,IE,18,2,3,1,1,5,4,,3,1,3,8,6,2,1,1,1,3,1,2,3,3,5,2,1,3,,,,,,,,,,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,3,1,1,3,3,3,3,1,3,2,3,3,1,1,1
